site,activation_profile,adult_age_band,initial_total_adults,start_date,end_date,first_reproduction,peak_mobile_date,peak_mobile_population,peak_total_date,peak_total_population,final_population
knockrow,central,young,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,10324.995647384714,2025-04-07,16555.3286642489,1768.7848443901767
knockrow,central,young,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,103249.95647384717,2025-04-07,165553.28664248908,17687.84844390177
knockrow,central,mixed,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,626.0554323354114,2025-04-07,999.9708804349598,109.58474794001926
knockrow,central,mixed,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,6260.554323354121,2025-04-07,9999.708804349604,1095.8474794001934
knockrow,central,mixed,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,62605.54323354115,2025-04-07,99997.08804349597,10958.474794001926
knockrow,central,older,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,94.7538605185323,2025-04-15,150.21297610846293,17.64271371066355
knockrow,central,older,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,947.5386051853234,2025-04-15,1502.1297610846293,176.42713710663554
knockrow,central,older,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,9475.386051853227,2025-04-15,15021.297610846286,1764.2713710663547
knockrow,permissive,young,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,1379.5829933343189,2025-04-15,2257.554855607778,259.4067248823747
knockrow,permissive,young,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,13795.829933343179,2025-04-15,22575.54855607776,2594.067248823745
knockrow,permissive,young,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,137958.29933343185,2025-04-15,225755.48556077768,25940.672488237462
knockrow,permissive,mixed,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,866.9225971991343,2025-04-21,1417.7129491952282,165.69235089640608
knockrow,permissive,mixed,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,8669.225971991347,2025-04-21,14177.12949195229,1656.9235089640617
knockrow,permissive,mixed,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,86692.25971991342,2025-04-21,141771.29491952277,16569.23508964061
knockrow,permissive,older,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,206.53452454438073,2025-04-21,343.14179128526297,38.06033078990639
